idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
0.0,0.09,0.934,0.011,-29.0,-78.1,11.0,-4.812,-2.188,-1.875,89.341,-5.491,150.936,25.193,43.71,99715.76,139.99
1.0,0.092,0.934,0.009,-28.9,-78.7,10.9,-2.5,-3.375,0.125,89.461,-5.61,151.093,25.225,43.67,99714.56,140.11
2.0,0.093,0.933,0.011,-28.1,-78.3,12.4,-2.0,-2.938,0.0,89.341,-5.675,146.683,25.241,43.67,99714.21,140.15
3.0,0.095,0.933,0.013,-29.1,-78.5,10.2,-2.062,-3.312,-0.25,89.221,-5.793,151.835,25.254,43.72,99716.36,139.97
4.0,0.089,0.935,0.012,-28.4,-78.1,11.3,-1.562,-3.062,0.312,89.282,-5.426,149.571,25.261,43.66,99716.38,139.97
5.0,0.089,0.936,0.011,-29.2,-79.8,12.9,-2.062,-3.25,0.0,89.343,-5.42,147.334,25.269,43.62,99714.38,140.15
6.0,0.095,0.934,0.009,-29.3,-78.2,11.8,-2.625,-3.438,0.062,89.461,-5.787,149.496,25.261,43.67,99715.57,140.04
7.0,0.092,0.932,0.01,-28.7,-79.6,11.1,-1.75,-3.562,0.25,89.4,-5.621,150.13,25.268,43.62,99714.88,140.1
8.0,0.095,0.935,0.013,-28.9,-79.3,12.8,-1.812,-3.25,0.312,89.223,-5.781,146.273,25.275,43.61,99715.39,140.06
9.0,0.093,0.933,0.012,-27.9,-77.8,13.4,-2.875,-3.562,-0.312,89.281,-5.675,144.411,25.273,43.66,99716.06,140.0
10.0,0.094,0.935,0.009,-27.7,-79.0,11.5,-1.562,-3.688,0.375,89.462,-5.722,148.138,25.282,43.6,99717.57,139.87
11.0,0.091,0.934,0.013,-28.4,-79.1,11.1,-1.812,-3.125,0.312,89.222,-5.55,149.458,25.278,43.63,99713.02,140.27
12.0,0.093,0.934,0.013,-28.2,-79.2,13.7,-1.938,-3.812,0.25,89.222,-5.669,143.897,25.285,43.63,99714.12,140.18
